date,code,usdprice
1994-01-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.25
1994-02-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.25
1994-03-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.26
1994-04-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.26
1994-05-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.25
1994-06-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.24
1994-07-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.21
1994-08-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.25
1994-09-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.21
1994-10-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.21
1994-11-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.21
1994-12-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.22
1995-01-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.21
1995-02-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.19
1995-03-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.19
1995-04-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.26
1995-05-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.22
1995-06-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.22
1995-07-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.21
1995-08-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.21
1995-09-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.19
1995-10-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.23
1995-11-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.23
1995-12-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.23
1996-01-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.22
1996-02-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.22
1996-03-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.23
1996-04-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.23
1996-05-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.2
1996-06-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.23
1996-07-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.21
1996-08-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.21
1996-09-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.22
1996-10-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.22
1996-11-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.24
1996-12-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.28
1997-01-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.33
1997-02-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.26
1997-03-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.28
1997-04-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.25
1997-05-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.25
1997-06-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.25
1997-07-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.25
1997-08-15,Maharashtra-Mumbai city-Mumbai-Wheat-KG-INR,0.25
